sentiment,text
2,new post μνημονιο συνεργασιας eurobank ryerson university xa0για στηριξη νεανικης επιχειρηματικοτητας xa0
2,alpha bank νεο στεγαστικο προγραμμα alpha ανακαινιση κατοικιας
0,καραμουζης ευχομαι επομενος προεδρος eurobank ελληνας
2,ροδιακη τραπεζα πειραιως στηριξη μικρων επιχειρησεων επαγγελματιων χρηματοδοτικων προγραμματων
1,δανειο χορηγησε τραπεζα πειραιως σακη ρουβα δεσμευμενοι λογαριασμοι απετυχε προηγουμενο επιχειρηματικο βημα
0,κυρ γιωργο μπλοκαρε γιουρομπανκ κανε ξυπναω βλεπω μαζι πεθερα
2,ξερετε 31η μαρτιου ανακηρυχθει παγκοσμια ημερα αποθηκευσης αρχειων λετε ευκαιρια backup
0,θελω βοηθησω πληγεντες προσφεροντας χρηματα δημος ραφηνας πικερμιου ανακοινωσε δημιουργια ειδικου τραπεζικου λογαριασμου συνεργασια τραπεζα πειραιως πειραιως αριθμος λογαριασμου ιβαν gr20
1,δανειο χορηγησε τραπεζα πειραιως σακη ρουβα δεσμευμενοι λογαριασμοι απετυχε προηγουμενο επιχειρηματικο βημα
0,αλφα μπανκ μπορω εξυπηρετησω θελω μπλοκαρετε καρτα κλεψανε κυριε οχι πηρε γυναικα παει ψωνια
1,λες ξαπλωσω μισαωρακι μεσημερι ξεκουραστω παιρνει βονταφον κοσμοτε γιουρομπανκ τρεις πελατισσες μαλακας δεν εστελνε
0,υποβαθμιζει hold συσταση eurobank ετε πειραιως hsbc buy alpha bank αυξημενο κοστος μειωσης κατα δισ
2,ενισχυση ρευστοτητας τραπεζα πειραιως ετεαν
1,παραπλευρη επικαιροτητα αποφαση attica bank μεταβιβασει ξενο fund θαλασσοδανεια ακυρωσε μπλοκαρε αλεξης
1,alpha bank φυγαδευθηκαν εργαζομενοι αποφυγουν σεπε
1,τεκμηριο αθλιοτητας περιπτωση attica bank xa0οπου τσμεδε ταμεια δεκο υποδειξη κυβερνησης συριζανελ συμμετειχαν αυξηση κεφαλαιου σημερα μετοχοι attica bank μετρουν ζημιες κοντα εκατ ευρω
